			PCS		1/2			P		
			PCS		1/1			P		
			PCS		1/2			P		
			PCS		1/2			P		
			PCS		1/2			P		
			PCS		2/2			P		
			PCS		1/2			P		
			PCS		2/2			P		
			PCS		1/2			C		
			PCS					I		
			PCS		2/2			P		
			PCS					P		
			PCS					P		
			TAS					P		
			PCS					P		
			PCS		0/2			P		
			PCS					P		
			PCS					I		
			TAS		HP:0040283			P		
			PCS		1/1			P		
			PCS		1/1			P		
			PCS		1/1			C		
			PCS					I		
			PCS		1/1			P		
			PCS		1/1			P		
			PCS		3/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		7/8			P		
			PCS		4/8			P		
			PCS		5/8			C		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			C		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			PCS		8/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		5/8			P		
			PCS		4/8			P		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			PCS		2/8			P		
			PCS		5/8			P		
			TAS					I		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			PCS		2/8			P		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		2/8			C		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		3/8			P		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			PCS		1/8			P		
			PCS		2/8			P		
			TAS					P		
			IEA					P		
			IEA					P		
			IEA					P		
			IEA					P		
			IEA					I		
			IEA					C		
			PCS					P		
			TAS		HP:0040283			P		
			TAS					P		
			PCS					P		
			PCS					P		
			PCS					P		
			PCS					I		
			IEA					P		
			IEA					I		
			TAS					I		
			PCS	HP:0003593	1/1	FEMALE		P		
			PCS	HP:0003593	2/2			P		
			PCS		3/3			C		
			PCS		1/2			P		
			PCS					I		
			PCS		1/1			P		
			PCS		1/1			P		
			PCS	HP:0003593	1/2			P		
			PCS	HP:0003593	2/2			P		
			PCS		1/1			P		
			TAS					P		
			TAS					C		
			TAS					P		
			IEA					P		
			TAS					P		
			TAS					P		
			TAS					M		
			PCS					I		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					C		
			TAS					P		
			TAS	HP:0011462	16/18			P		
			TAS					P		
			TAS					P		
			PCS		2/18			P		
			PCS		4/18			P		
			TAS					P		
			IEA					P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS	HP:0003581	18/18			P		
			TAS					P		
			PCS		18/18			C		
			TAS					P		
			PCS		18/18			P		
			PCS					I		
			TAS					P		
			PCS		5/11			C		
			PCS		7/11			P		
			PCS		6/11			C		
			PCS		11/11			P		
			PCS		0/11			P		
			PCS		0/11			P		
			PCS					I		
			PCS		5/11			P		
			IEA					P		
			IEA					P		
			TAS					P		
			IEA					P		
			IEA					P		
			IEA					P		
			IEA					I		
			IEA					P		
			TAS					P		
			PCS		3/3			C		
			PCS		2/3			P		
			PCS	HP:0003577	3/3			P		
			PCS		3/3			P		
			PCS		3/3			P		
			PCS		2/3			P		
			PCS		3/3			P		
			PCS		2/3			P		
			PCS		1/3			P		
			PCS		1/3			P		
			PCS		2/3			P		
			PCS		3/3			P		
			PCS					I		
			PCS		1/3			P		
			PCS		2/3			P		
			PCS		3/3			P		
			PCS		1/16			P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		1/16			P		
			TAS					P		
			TAS					P		
			TAS		2/16			P		
			TAS					P		
			TAS					P		
			PCS		3/15			P		
			TAS					P		
			TAS					P		
			PCS		10/15			P		
			PCS		3/16			P		
			TAS					P		
			PCS		2/16			P		
			TAS					P		
			PCS		6/16			P		
			TAS					P		
			PCS		14/16			P		
			PCS					I		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		16/16			C		
			TAS					P		
			PCS		7/16			P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		5/15			P		
			PCS		10/15			P		
			IEA					P		
			TAS		HP:0040283			P		
			TAS					P		
			PCS		1/16			P		
			PCS		5/15			P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		3/16			P		
			PCS		1/16			P		
			TAS				HP:0012828	P		
			TAS					P		
			PCS		2/2			C		
			PCS		2/2			P		
			PCS		2/2			P		
			PCS		1/2			P		
			TAS		HP:0040283			P		
			PCS		1/2			P		
			PCS					I		
			PCS					P		
			PCS	HP:0011463	1/1			P		
			PCS					P		
			TAS					P		
			PCS	HP:0011463	1/1			P		
			PCS					P		
			IEA	HP:0011463	1/1			P		
			PCS					I		
			TAS					P		
			TAS					P		
			TAS					P		
			TAS					I		
			TAS					P		
			TAS					P		
			PCS					P		
			PCS		1/7			P		
			TAS					P		
			PCS		2/7			P		
			PCS		2/7			P		
			PCS		7/7			P		
			PCS		2/7			P		
			TAS		HP:0040283			P		
			TAS					P		
			PCS					I		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			PCS		3/3			P		
			PCS		6/6			P		
			PCS		2/2			P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			PCS		1/1			P		
			IEA					P		
			PCS		1/1			P		
			PCS		1/1			P		
			TAS					P		
			PCS		1/1			P		
			PCS		1/1			P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS					I		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			PCS		1/1			P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			PCS		1/1			C		
			PCS		1/1			P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			IEA					P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			PCS		1/1			P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			PCS		3/5			P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			TAS					P		
			PCS		1/1			P		
			TAS					P		
			PCS		10/10			P		
			PCS		10/10			C		
			PCS	HP:0003577	10/10			P		
			TAS		HP:0040283			P		
			TAS					P		
			PCS					I		
			TAS		HP:0040283			P		
			PCS					P		
			PCS					P		
			PCS		16/16			P		
			PCS					P		
			PCS		11/11			C		
			PCS		16/16			P		
			PCS					C		
			PCS					P		
			PCS					I		
			PCS					P		
			PCS		16/16			P		
			PCS		1/1			P		
			IEA					P		
			PCS		1/1			P		
			IEA					P		
			IEA					I		
			TAS					P		
			TAS					P		
			IEA					P		
			PCS		3/9			P		
			PCS		9/9			P		
			PCS		6/9			P		
			PCS		1/9			P		
			IEA					P		
			TAS					P		
			TAS					P		
			TAS					I		
			PCS	HP:0003593	9/9			P		
			TAS					P		
			PCS		2/3			P		
			PCS					P		
			PCS		1/3			P		
			PCS		2/3			C		
			PCS		3/3			P		
			PCS		3/3			P		
			PCS		3/3			P		
			PCS		3/3		HP:0012828	P		
			PCS		1/3			P		
			PCS		1/3			C		
			PCS		3/3			P		
			PCS		1/3			P		
			PCS		1/3			P		
			PCS		3/3			P		
			PCS					I		
			PCS		1/3			P		
			PCS		2/2			P		
			PCS		3/3			P		
			IEA					P		
			IEA					P		
			TAS					P		
			TAS					I		
			TAS					I		
			TAS		20/20			P		
			TAS					I		
			IEA					P		
			IEA					I		
			IEA					P		
			PCS					P		
			PCS					C		
			PCS	HP:0011463				P		
			PCS	HP:0011463				P		
			PCS					I		
			PCS	HP:0011462				P		
			PCS	HP:0011462				P		
			PCS	HP:0011463				P		
			TAS					I		
			TAS					P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS					P		
			PCS		1/8			P		
			PCS		1/6			P		
			PCS		8/16			P		
			PCS		4/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		8/8			C		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS					P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS					P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS					P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		8/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS		8/8			P		
			PCS		1/8			P		
			PCS		1/8			P		
			PCS					I		
